Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,# Razor Peptides,Abundance: F2: Sample,,,Found in Sample: [S2] F2: Sample,# Protein Groups,Modifications
FALSE,High,Master Protein,Q00610,Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5,0,701.203,47,63,126,63,1675,191.5,5.69,396.57,63,0,701872367.1,8.846258144,0.824885474,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P04264,"Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6",0,331.834,48,30,78,26,644,66,8.12,223.71,30,4,651599639,8.813980835,0.821875718,High,1,
FALSE,High,Master Protein,Q71U36,Tubulin alpha-1A chain OS=Homo sapiens OX=9606 GN=TUBA1A PE=1 SV=1,0,279,66,23,83,7,451,50.1,5.06,239.87,23,16,616096668,8.78964886,0.819606838,High,1,
FALSE,High,Master Protein,P46777,60S ribosomal protein L5 OS=Homo sapiens OX=9606 GN=RPL5 PE=1 SV=3,0,135.582,35,11,27,11,297,34.3,9.72,65.23,11,0,606350878.7,8.782724011,0.818961118,High,1,
FALSE,High,Master Protein,P49368,T-complex protein 1 subunit gamma OS=Homo sapiens OX=9606 GN=CCT3 PE=1 SV=4,0,133.966,43,17,26,17,545,60.5,6.49,66.63,17,0,575646454.5,8.760155834,0.816856707,High,1,Acetyl [N-Term]
FALSE,High,Master Protein,P26641,Elongation factor 1-gamma OS=Homo sapiens OX=9606 GN=EEF1G PE=1 SV=3,0,216.214,51,20,51,20,437,50.1,6.67,153.94,20,0,575461690.5,8.760016417,0.816843707,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P63244,Receptor of activated protein C kinase 1 OS=Homo sapiens OX=9606 GN=RACK1 PE=1 SV=3,0,240.97,79,20,63,20,317,35.1,7.69,171.14,20,0,561689263.3,8.749496122,0.815862723,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,Q92734,Protein TFG OS=Homo sapiens OX=9606 GN=TFG PE=1 SV=2,0,22.815,12,4,4,4,400,43.4,5.1,11.22,4,0,553707470,8.743280383,0.815283125,High,1,
FALSE,High,Master Protein,Q14997,Proteasome activator complex subunit 4 OS=Homo sapiens OX=9606 GN=PSME4 PE=1 SV=2,0,607.126,46,57,99,57,1843,211.2,6.9,299.42,57,0,517159772.6,8.713624736,0.81251783,High,1,
FALSE,High,Master Protein,P08865,40S ribosomal protein SA OS=Homo sapiens OX=9606 GN=RPSA PE=1 SV=4,0,222.082,64,18,60,18,295,32.8,4.87,204.53,18,0,484332999.1,8.68514406,0.809862097,High,1,Met-loss [N-Term]; Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P23396,40S ribosomal protein S3 OS=Homo sapiens OX=9606 GN=RPS3 PE=1 SV=2,0,203.283,79,23,63,23,243,26.7,9.66,170.16,23,0,469565739.7,8.671696403,0.808608146,High,1,
FALSE,High,Master Protein,P68133,"Actin, alpha skeletal muscle OS=Homo sapiens OX=9606 GN=ACTA1 PE=1 SV=1",0,212.118,43,17,93,3,377,42,5.39,180.72,17,0,410038886.5,8.612825045,0.803118579,High,1,Phospho [T320]
FALSE,High,Master Protein,P06748,Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2,0,195.877,53,11,31,11,294,32.6,4.78,121,11,0,382110241.6,8.582188678,0.800261835,High,1,Phospho [S4; S125]; Acetyl [N-Term]
FALSE,High,Master Protein,P46379,Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2,0,383.947,36,27,77,27,1132,119.3,5.6,245.87,27,0,376255293.9,8.575482619,0.799636516,High,1,Phospho [S113]
FALSE,High,Master Protein,P61247,40S ribosomal protein S3a OS=Homo sapiens OX=9606 GN=RPS3A PE=1 SV=2,0,127.125,49,14,44,14,264,29.9,9.73,84.9,14,0,371707386.5,8.570201191,0.79914404,High,1,
FALSE,High,Master Protein,P05787,"Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7",0,192.81,50,25,50,23,483,53.7,5.59,122.78,25,2,368309599.3,8.566213038,0.798772157,High,1,
FALSE,High,Master Protein,Q16643,Drebrin OS=Homo sapiens OX=9606 GN=DBN1 PE=1 SV=4,0,282.378,39,21,54,21,649,71.4,4.45,170.05,21,0,367386105.1,8.565122727,0.798670489,High,1,Phospho [S142; T335; S337]; Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P08238,Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4,0,354.737,48,32,93,19,724,83.2,5.03,274.26,32,1,356940824.1,8.552596222,0.797502433,High,1,Phospho [S226; S255]
FALSE,High,Master Protein,P18124,60S ribosomal protein L7 OS=Homo sapiens OX=9606 GN=RPL7 PE=1 SV=1,0,131.614,54,16,35,16,248,29.2,10.65,83.05,16,0,345774677.2,8.538793185,0.796215343,High,1,
FALSE,High,Master Protein,Q14152,Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens OX=9606 GN=EIF3A PE=1 SV=1,0,292.932,34,43,79,43,1382,166.5,6.79,168.11,43,0,341008549.5,8.532765267,0.795653259,High,1,Met-loss [N-Term]
FALSE,High,Master Protein,P13639,Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4,0,323.266,52,38,67,37,858,95.3,6.83,150.55,38,1,337539333.9,8.528324389,0.795239161,High,1,
FALSE,High,Master Protein,P46781,40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9 PE=1 SV=3,0,56.97,39,14,31,14,194,22.6,10.65,50.07,14,0,331368612.9,8.52031137,0.794491973,High,1,
FALSE,High,Master Protein,P24534,Elongation factor 1-beta OS=Homo sapiens OX=9606 GN=EEF1B2 PE=1 SV=3,0,151.281,55,10,30,8,225,24.7,4.67,88.78,10,0,320302789.5,8.505560721,0.793116522,High,1,
FALSE,High,Master Protein,P05387,60S acidic ribosomal protein P2 OS=Homo sapiens OX=9606 GN=RPLP2 PE=1 SV=1,0,127.267,71,5,28,5,115,11.7,4.54,106.44,5,0,313375940,8.49606565,0.792231136,High,1,
FALSE,High,Master Protein,P29692,Elongation factor 1-delta OS=Homo sapiens OX=9606 GN=EEF1D PE=1 SV=5,0,120.926,67,12,29,10,281,31.1,5.01,82.87,12,2,312495732.4,8.494844091,0.79211723,High,1,Phospho [S133; S162]; Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P0DP25,Calmodulin-3 OS=Homo sapiens OX=9606 GN=CALM3 PE=1 SV=1,0,117.956,67,8,41,8,149,16.8,4.22,108.87,8,0,308737788,8.489589788,0.791627283,High,1,Acetyl [K116]; Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P19338,Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3,0,138.526,23,16,52,16,710,76.6,4.7,115.14,16,0,307486503.2,8.487826058,0.79146282,High,1,
FALSE,High,Master Protein,P62269,40S ribosomal protein S18 OS=Homo sapiens OX=9606 GN=RPS18 PE=1 SV=3,0,50.412,43,8,22,8,152,17.7,10.99,50.44,8,0,306091375.5,8.485851093,0.791278661,High,1,
FALSE,High,Master Protein,P11021,Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2,0,258.421,42,25,61,24,654,72.3,5.16,168.11,25,1,300281978.1,8.477529268,0.790502678,High,1,
FALSE,High,Master Protein,Q9UMX0,Ubiquilin-1 OS=Homo sapiens OX=9606 GN=UBQLN1 PE=1 SV=2,0,232.621,38,13,44,7,589,62.5,5.11,156.3,13,6,299722460.8,8.47671929,0.79042715,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P35579,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4,0,696.298,39,68,112,55,1960,226.4,5.6,307.99,68,11,299522524.7,8.476429488,0.790400127,High,1,
FALSE,High,Master Protein,P62701,"40S ribosomal protein S4, X isoform OS=Homo sapiens OX=9606 GN=RPS4X PE=1 SV=2",0,134.326,55,18,44,18,263,29.6,10.15,104.1,18,0,294274396.8,8.468752478,0.78968427,High,1,
FALSE,High,Master Protein,P36578,60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5,0,215.158,44,21,53,21,427,47.7,11.06,152.3,21,0,292966137.8,8.466817426,0.789503832,High,1,
FALSE,High,Master Protein,Q8WVY7,Ubiquitin-like domain-containing CTD phosphatase 1 OS=Homo sapiens OX=9606 GN=UBLCP1 PE=1 SV=2,0,121.334,59,20,48,20,318,36.8,6.46,115.01,20,0,290931861.8,8.463791286,0.789221654,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P62241,40S ribosomal protein S8 OS=Homo sapiens OX=9606 GN=RPS8 PE=1 SV=2,0,118.707,55,14,31,14,208,24.2,10.32,83.64,14,0,285677168,8.455875532,0.788483535,High,1,
FALSE,High,Master Protein,P55072,Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4,0,386.29,60,38,71,38,806,89.3,5.26,204.1,38,0,273318668.9,8.436669297,0.786692615,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P05386,60S acidic ribosomal protein P1 OS=Homo sapiens OX=9606 GN=RPLP1 PE=1 SV=1,0,89.561,75,3,16,3,114,11.5,4.32,85.01,3,0,260943710,8.416546833,0.784816259,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P11142,Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1,0,254.399,39,22,59,20,646,70.9,5.52,162.88,22,1,257298724.8,8.410437634,0.784246596,High,1,
FALSE,High,Master Protein,P62249,40S ribosomal protein S16 OS=Homo sapiens OX=9606 GN=RPS16 PE=1 SV=2,0,35.622,54,10,22,10,146,16.4,10.21,45.86,10,0,240540534.4,8.381188271,0.781519186,High,1,
FALSE,High,Master Protein,P35527,"Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3",0,235.848,57,21,53,20,623,62,5.24,164.89,21,0,239431423.4,8.379181147,0.781332028,High,1,
FALSE,High,Master Protein,Q9Y265,RuvB-like 1 OS=Homo sapiens OX=9606 GN=RUVBL1 PE=1 SV=1,0,249.769,58,20,46,20,456,50.2,6.42,148.64,20,0,236006481.6,8.37292393,0.780748562,High,1,
FALSE,High,Master Protein,P62258,14-3-3 protein epsilon OS=Homo sapiens OX=9606 GN=YWHAE PE=1 SV=1,0,108.995,66,15,31,13,255,29.2,4.74,72.26,15,2,234904500.3,8.370891337,0.780559029,High,1,Acetyl [N-Term]
FALSE,High,Master Protein,P62906,60S ribosomal protein L10a OS=Homo sapiens OX=9606 GN=RPL10A PE=1 SV=2,0,109.255,36,9,25,9,217,24.8,9.94,69.74,9,0,219853865.8,8.342134106,0.777877509,High,1,
FALSE,High,Master Protein,Q9BRP4,Proteasomal ATPase-associated factor 1 OS=Homo sapiens OX=9606 GN=PAAF1 PE=1 SV=2,0,81.546,27,11,24,11,392,42.2,6.32,57.07,11,0,217444744.9,8.337348916,0.777431305,High,1,
FALSE,High,Master Protein,Q9UQ80,Proliferation-associated protein 2G4 OS=Homo sapiens OX=9606 GN=PA2G4 PE=1 SV=3,0,200.723,58,20,41,20,394,43.8,6.55,106.05,20,0,213787886.9,8.329983095,0.776744466,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P05388,60S acidic ribosomal protein P0 OS=Homo sapiens OX=9606 GN=RPLP0 PE=1 SV=1,0,102.52,44,10,25,10,317,34.3,5.97,78.86,10,0,210589297.5,8.323436296,0.776133997,High,1,
FALSE,High,Master Protein,Q9Y230,RuvB-like 2 OS=Homo sapiens OX=9606 GN=RUVBL2 PE=1 SV=3,0,177.286,49,21,41,21,463,51.1,5.64,101.66,21,0,207681638.7,8.317398102,0.775570955,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P39019,40S ribosomal protein S19 OS=Homo sapiens OX=9606 GN=RPS19 PE=1 SV=2,0,49.302,46,9,22,9,145,16.1,10.32,46.02,9,0,205926223.1,8.313711654,0.775227205,High,1,
FALSE,High,Master Protein,P63104,14-3-3 protein zeta/delta OS=Homo sapiens OX=9606 GN=YWHAZ PE=1 SV=1,0,174.048,52,13,34,11,245,27.7,4.79,94.81,13,0,203091621.8,8.307692008,0.774665892,High,1,
FALSE,High,Master Protein,P62277,40S ribosomal protein S13 OS=Homo sapiens OX=9606 GN=RPS13 PE=1 SV=2,0,55.334,36,8,17,8,151,17.2,10.54,34.35,8,0,201106699.5,8.303426539,0.774268151,High,1,
FALSE,High,Master Protein,P30050,60S ribosomal protein L12 OS=Homo sapiens OX=9606 GN=RPL12 PE=1 SV=1,0,90.437,55,7,17,7,165,17.8,9.42,51.14,7,0,197621420.8,8.295834017,0.773560173,High,1,
