Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,# Razor Peptides,Abundance: F2: Sample,Found in Sample: [S2] F2: Sample,# Protein Groups,Modifications
FALSE,High,Master Protein,P22061,Protein-L-isoaspartate(D-aspartate) O-methyltransferase OS=Homo sapiens OX=9606 GN=PCMT1 PE=1 SV=4,0,47.289,41,9,45,9,227,24.6,7.21,137.07,9,0,43149413.25,High,1,Methyl [R124]
FALSE,High,Master Protein,P19338,Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3,0,67.139,18,11,43,11,710,76.6,4.7,129.69,11,0,50857427.13,High,1,
FALSE,High,Master Protein,P05787,"Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7",0,44.719,29,16,43,12,483,53.7,5.59,96.62,16,0,47460202.81,High,1,
FALSE,High,Master Protein,P61247,40S ribosomal protein S3a OS=Homo sapiens OX=9606 GN=RPS3A PE=1 SV=2,0,58.867,47,12,42,12,264,29.9,9.73,108.49,12,0,76150806.81,High,1,
FALSE,High,Master Protein,P13647,"Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3",0,49.444,23,16,42,7,590,62.3,7.74,100.28,16,0,13686226.25,High,1,
FALSE,High,Master Protein,P08865,40S ribosomal protein SA OS=Homo sapiens OX=9606 GN=RPSA PE=1 SV=4,0,63.857,38,8,40,8,295,32.8,4.87,151.55,8,0,83516146,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P08727,"Keratin, type I cytoskeletal 19 OS=Homo sapiens OX=9606 GN=KRT19 PE=1 SV=4",0,53.056,43,17,39,11,400,44.1,5.14,84.7,17,2,34950946.75,High,1,
FALSE,High,Master Protein,P62269,40S ribosomal protein S18 OS=Homo sapiens OX=9606 GN=RPS18 PE=1 SV=3,0,34.196,47,9,39,9,152,17.7,10.99,81.74,9,0,65389423.72,High,1,
FALSE,High,Master Protein,P68371,Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1,0,65.785,41,13,39,1,445,49.8,4.89,109.16,13,0,1993808,High,1,
FALSE,High,Master Protein,P62249,40S ribosomal protein S16 OS=Homo sapiens OX=9606 GN=RPS16 PE=1 SV=2,0,16.309,38,6,39,6,146,16.4,10.21,99.23,6,0,65339139.88,High,1,
FALSE,High,Master Protein,P39019,40S ribosomal protein S19 OS=Homo sapiens OX=9606 GN=RPS19 PE=1 SV=2,0,24.118,51,9,38,9,145,16.1,10.32,74.8,9,0,57477604.72,High,1,
FALSE,High,Master Protein,P62280,40S ribosomal protein S11 OS=Homo sapiens OX=9606 GN=RPS11 PE=1 SV=3,0,35.151,53,12,37,12,158,18.4,10.3,72.45,12,0,76675532.84,High,1,Phospho [T46]; Methyl [K48]
FALSE,High,Master Protein,Q13148,TAR DNA-binding protein 43 OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1,0,65.189,34,10,37,10,414,44.7,6.19,107.3,10,0,61955253.97,High,1,
FALSE,High,Master Protein,Q00839,Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6,0,67.282,23,14,36,14,825,90.5,6,83.41,14,0,43607253.03,High,1,Phospho [S59]
FALSE,High,Master Protein,P11142,Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1,0,57.269,22,13,35,11,646,70.9,5.52,90.59,13,1,39577635.72,High,1,
FALSE,High,Master Protein,P68363,Tubulin alpha-1B chain OS=Homo sapiens OX=9606 GN=TUBA1B PE=1 SV=1,0,49.375,31,11,35,11,451,50.1,5.06,98.31,11,0,32334446.94,High,1,
FALSE,High,Master Protein,Q9UMX0,Ubiquilin-1 OS=Homo sapiens OX=9606 GN=UBQLN1 PE=1 SV=2,0,96.905,33,10,34,4,589,62.5,5.11,110.98,10,4,17505783.88,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P26641,Elongation factor 1-gamma OS=Homo sapiens OX=9606 GN=EEF1G PE=1 SV=3,0,50.905,24,9,33,9,437,50.1,6.67,103.6,9,0,59330888.75,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P63267,"Actin, gamma-enteric smooth muscle OS=Homo sapiens OX=9606 GN=ACTG2 PE=1 SV=1",0,40.952,29,11,32,1,376,41.9,5.48,86.66,11,0,4084085,High,1,
FALSE,High,Master Protein,P46782,40S ribosomal protein S5 OS=Homo sapiens OX=9606 GN=RPS5 PE=1 SV=4,0,44.083,50,8,32,8,204,22.9,9.72,99.81,8,0,56548158.38,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P18124,60S ribosomal protein L7 OS=Homo sapiens OX=9606 GN=RPL7 PE=1 SV=1,0,28.94,35,9,31,9,248,29.2,10.65,80.77,9,0,43838836.25,High,1,
FALSE,High,Master Protein,P62258,14-3-3 protein epsilon OS=Homo sapiens OX=9606 GN=YWHAE PE=1 SV=1,0,40.524,53,11,30,9,255,29.2,4.74,82.19,11,2,40933005.13,High,1,Acetyl [N-Term]
FALSE,High,Master Protein,Q02878,60S ribosomal protein L6 OS=Homo sapiens OX=9606 GN=RPL6 PE=1 SV=3,0,44.629,41,13,28,13,288,32.7,10.58,54.57,13,0,56214137.04,High,1,
FALSE,High,Master Protein,P62753,40S ribosomal protein S6 OS=Homo sapiens OX=9606 GN=RPS6 PE=1 SV=1,0,28.194,24,6,28,6,249,28.7,10.84,67.54,6,0,55137174.75,High,1,
FALSE,High,Master Protein,P40429,60S ribosomal protein L13a OS=Homo sapiens OX=9606 GN=RPL13A PE=1 SV=2,0,17.728,27,6,28,6,203,23.6,10.93,38.76,6,0,26660372.06,High,1,
FALSE,High,Master Protein,P63104,14-3-3 protein zeta/delta OS=Homo sapiens OX=9606 GN=YWHAZ PE=1 SV=1,0,46.024,42,8,27,6,245,27.7,4.79,75.02,8,0,41420299.25,High,1,Acetyl [N-Term]
FALSE,High,Master Protein,P62081,40S ribosomal protein S7 OS=Homo sapiens OX=9606 GN=RPS7 PE=1 SV=1,0,31.101,48,7,25,7,194,22.1,10.1,78.33,7,0,31607761.75,High,1,
FALSE,High,Master Protein,P25398,40S ribosomal protein S12 OS=Homo sapiens OX=9606 GN=RPS12 PE=1 SV=3,0,65.469,64,7,25,7,132,14.5,7.21,84.16,7,0,50738155.88,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P55072,Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4,0,74.555,26,15,24,15,806,89.3,5.26,62.08,15,0,10488176.28,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,Q13509,Tubulin beta-3 chain OS=Homo sapiens OX=9606 GN=TUBB3 PE=1 SV=2,0,25.173,20,8,24,1,450,50.4,4.93,65.68,8,0,433698.125,High,1,Methyl [R156]
FALSE,High,Master Protein,P22626,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2,0,37.015,29,8,24,8,353,37.4,8.95,54.41,8,0,17309961.56,High,1,
FALSE,High,Master Protein,P62424,60S ribosomal protein L7a OS=Homo sapiens OX=9606 GN=RPL7A PE=1 SV=2,0,32.634,32,10,24,10,266,30,10.61,59.83,10,0,31343722.69,High,1,
FALSE,High,Master Protein,P18621,60S ribosomal protein L17 OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=3,0,17.839,27,7,24,7,184,21.4,10.17,29.06,7,0,22527763.56,High,1,
FALSE,High,Master Protein,P12956,X-ray repair cross-complementing protein 6 OS=Homo sapiens OX=9606 GN=XRCC6 PE=1 SV=2,0,50.104,23,10,24,10,609,69.8,6.64,65.45,10,0,13668272.19,High,1,
FALSE,High,Master Protein,P15880,40S ribosomal protein S2 OS=Homo sapiens OX=9606 GN=RPS2 PE=1 SV=2,0,23.186,30,8,24,8,293,31.3,10.24,61.87,8,0,57710442,High,1,
FALSE,High,Master Protein,Q14152,Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens OX=9606 GN=EIF3A PE=1 SV=1,0,36.358,10,11,24,11,1382,166.5,6.79,50.47,11,0,17270418.75,High,1,
FALSE,High,Master Protein,P08708,40S ribosomal protein S17 OS=Homo sapiens OX=9606 GN=RPS17 PE=1 SV=2,0,46.065,50,6,24,6,135,15.5,9.85,68.03,6,0,46728256.19,High,1,
FALSE,High,Master Protein,Q9Y262,Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens OX=9606 GN=EIF3L PE=1 SV=1,0,51.639,22,11,23,11,564,66.7,6.34,51.54,11,0,12755469.38,High,1,
FALSE,High,Master Protein,P05387,60S acidic ribosomal protein P2 OS=Homo sapiens OX=9606 GN=RPLP2 PE=1 SV=1,0,44.845,77,5,23,5,115,11.7,4.54,80.26,5,0,43590097.88,High,1,
FALSE,High,Master Protein,P13010,X-ray repair cross-complementing protein 5 OS=Homo sapiens OX=9606 GN=XRCC5 PE=1 SV=3,0,54.612,23,10,22,10,732,82.7,5.81,43.92,10,0,8187350.406,High,1,
FALSE,High,Master Protein,P46777,60S ribosomal protein L5 OS=Homo sapiens OX=9606 GN=RPL5 PE=1 SV=3,0,27.995,35,10,22,10,297,34.3,9.72,48.98,10,0,24743340.8,High,1,
FALSE,High,Master Protein,P55884,Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens OX=9606 GN=EIF3B PE=1 SV=3,0,40.686,16,12,22,12,814,92.4,5,42.19,12,0,16190230.52,High,1,Acetyl [N-Term]
FALSE,High,Master Protein,Q9Y230,RuvB-like 2 OS=Homo sapiens OX=9606 GN=RUVBL2 PE=1 SV=3,0,40.084,29,11,21,11,463,51.1,5.64,48.62,11,0,18677800.13,High,1,
FALSE,High,Master Protein,P62263,40S ribosomal protein S14 OS=Homo sapiens OX=9606 GN=RPS14 PE=1 SV=3,0,24.984,37,5,21,5,151,16.3,10.05,55.84,5,0,38304818.5,High,1,
FALSE,High,Master Protein,Q9GZP4,PITH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=PITHD1 PE=1 SV=1,0,30.172,50,7,20,7,211,24.2,5.74,53.01,7,0,14054827.25,High,1,
FALSE,High,Master Protein,P05783,"Keratin, type I cytoskeletal 18 OS=Homo sapiens OX=9606 GN=KRT18 PE=1 SV=2",0,25.707,21,9,20,7,430,48,5.45,42.04,9,0,11771308.5,High,1,
FALSE,High,Master Protein,P24534,Elongation factor 1-beta OS=Homo sapiens OX=9606 GN=EEF1B2 PE=1 SV=3,0,41.376,44,6,20,5,225,24.7,4.67,58.37,6,0,45118762.25,High,1,
FALSE,High,Master Protein,Q5VYK3,Proteasome adapter and scaffold protein ECM29 OS=Homo sapiens OX=9606 GN=ECPAS PE=1 SV=2,0,42.243,6,6,20,6,1845,204.2,7.12,69.35,6,0,7529917.625,High,1,
