Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,# Razor Peptides,Abundance: F1: Sample,Found in Sample: [S1] F1: Sample,# Protein Groups,Modifications
FALSE,High,Master Protein,P35998,26S proteasome regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PSMC2 PE=1 SV=3,0,468.896,82,46,1094,44,433,48.6,5.95,3113.82,46,2,12430545963,High,1,Methyl [K169]; Acetyl [K169]; Met-loss [N-Term]
FALSE,High,Master Protein,P62333,26S proteasome regulatory subunit 10B OS=Homo sapiens OX=9606 GN=PSMC6 PE=1 SV=1,0,437.245,79,34,1070,33,389,44.1,7.49,3339.15,34,0,7338596718,High,1,Acetyl [K42]; Phospho [T37; Y40]; Methyl [K48]
FALSE,High,Master Protein,Q15008,26S proteasome non-ATPase regulatory subunit 6 OS=Homo sapiens OX=9606 GN=PSMD6 PE=1 SV=1,0,410.326,87,43,958,43,389,45.5,5.62,2645.14,43,0,5300211511,High,1,Met-loss [N-Term]
FALSE,High,Master Protein,Q9UNM6,26S proteasome non-ATPase regulatory subunit 13 OS=Homo sapiens OX=9606 GN=PSMD13 PE=1 SV=2,0,459.973,80,34,957,34,376,42.9,5.81,3261.56,34,0,6587652673,High,1,
FALSE,High,Master Protein,Q16401,26S proteasome non-ATPase regulatory subunit 5 OS=Homo sapiens OX=9606 GN=PSMD5 PE=1 SV=3,0,554.697,84,39,868,39,504,56.2,5.48,2883.58,39,0,7043996447,High,1,Acetyl [K100]; Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P51665,26S proteasome non-ATPase regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PSMD7 PE=1 SV=2,0,373.076,79,26,791,26,324,37,6.77,2776.32,26,0,3452450002,High,1,Met-loss [N-Term]
FALSE,High,Master Protein,P54578,Ubiquitin carboxyl-terminal hydrolase 14 OS=Homo sapiens OX=9606 GN=USP14 PE=1 SV=3,0,672.31,87,42,716,42,494,56,5.3,2504.52,42,0,2549264823,High,1,Acetyl [K345; K348]; Met-loss [N-Term]
FALSE,High,Master Protein,P55036,26S proteasome non-ATPase regulatory subunit 4 OS=Homo sapiens OX=9606 GN=PSMD4 PE=1 SV=1,0,339.894,61,20,632,20,377,40.7,4.79,2200.62,20,0,3331505469,High,1,Phospho [S266]; Met-loss [N-Term]
FALSE,High,Master Protein,Q9Y5K5,Ubiquitin carboxyl-terminal hydrolase isozyme L5 OS=Homo sapiens OX=9606 GN=UCHL5 PE=1 SV=3,0,529.962,92,28,625,28,329,37.6,5.33,1998.9,28,0,2276473630,High,1,Phospho [Y231; T250]; Met-loss [N-Term]; Met-loss+Acetyl [N-Term]; Acetyl [N-Term]; Acetyl [K158]
FALSE,High,Master Protein,O00487,26S proteasome non-ATPase regulatory subunit 14 OS=Homo sapiens OX=9606 GN=PSMD14 PE=1 SV=1,0,480.758,81,21,586,21,310,34.6,6.52,1848.95,21,0,5347935689,High,1,Methyl [K222; K223]
FALSE,High,Master Protein,P25786,Proteasome subunit alpha type-1 OS=Homo sapiens OX=9606 GN=PSMA1 PE=1 SV=1,0,311.954,93,27,551,27,263,29.5,6.61,1646.36,27,0,2454240273,High,1,Acetyl [N-Term]
FALSE,High,Master Protein,P48556,26S proteasome non-ATPase regulatory subunit 8 OS=Homo sapiens OX=9606 GN=PSMD8 PE=1 SV=2,0,308.445,68,24,529,24,350,39.6,9.7,1646.74,24,0,2983984054,High,1,Methyl [K63; K243; K324]; Phospho [S76; Y315; Y316]; Acetyl [K63]
FALSE,High,Master Protein,P25787,Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2,0,280.847,84,22,518,22,234,25.9,7.43,1755.56,22,0,1493385841,High,1,Met-loss+Acetyl [N-Term]; Phospho [S16]
FALSE,High,Master Protein,P28066,Proteasome subunit alpha type-5 OS=Homo sapiens OX=9606 GN=PSMA5 PE=1 SV=3,0,279.772,71,16,471,16,241,26.4,4.79,1530.64,16,0,1964510661,High,1,
FALSE,High,Master Protein,P28074,Proteasome subunit beta type-5 OS=Homo sapiens OX=9606 GN=PSMB5 PE=1 SV=3,0,243.592,65,19,459,19,263,28.5,6.92,1545.24,19,0,2063957695,High,1,
FALSE,High,Master Protein,P20618,Proteasome subunit beta type-1 OS=Homo sapiens OX=9606 GN=PSMB1 PE=1 SV=2,0,272.875,75,18,451,18,241,26.5,8.13,1439.91,18,0,1848487524,High,1,
FALSE,High,Master Protein,P49720,Proteasome subunit beta type-3 OS=Homo sapiens OX=9606 GN=PSMB3 PE=1 SV=2,0,168.751,61,17,448,17,205,22.9,6.55,1290.96,17,0,1235617611,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,O43396,Thioredoxin-like protein 1 OS=Homo sapiens OX=9606 GN=TXNL1 PE=1 SV=3,0,492.773,90,25,446,25,289,32.2,4.96,1668.04,25,0,2389183343,High,1,Met-loss [N-Term]; Met-loss+Acetyl [N-Term]; Acetyl [N-Term]
FALSE,High,Master Protein,P49721,Proteasome subunit beta type-2 OS=Homo sapiens OX=9606 GN=PSMB2 PE=1 SV=1,0,241.569,95,24,411,23,201,22.8,7.02,1288.19,24,0,1514992672,High,1,Acetyl [N-Term]
FALSE,High,Master Protein,P60900,Proteasome subunit alpha type-6 OS=Homo sapiens OX=9606 GN=PSMA6 PE=1 SV=1,0,207.499,73,20,399,20,246,27.4,6.76,1346.15,20,0,2426473958,High,1,
FALSE,High,Master Protein,O14818,Proteasome subunit alpha type-7 OS=Homo sapiens OX=9606 GN=PSMA7 PE=1 SV=1,0,243.241,70,20,385,19,248,27.9,8.46,1308.79,20,1,3058000822,High,1,
FALSE,High,Master Protein,Q16186,Proteasomal ubiquitin receptor ADRM1 OS=Homo sapiens OX=9606 GN=ADRM1 PE=1 SV=2,0,163.208,31,15,381,15,407,42.1,5.07,1173.18,15,0,1217148409,High,1,Met-loss+Acetyl [N-Term]; Phospho [S211; T225]
FALSE,High,Master Protein,P25788,Proteasome subunit alpha type-3 OS=Homo sapiens OX=9606 GN=PSMA3 PE=1 SV=2,0,118.155,62,19,309,19,255,28.4,5.33,786.19,19,0,1814621007,High,1,Phospho [S250]; Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,O75832,26S proteasome non-ATPase regulatory subunit 10 OS=Homo sapiens OX=9606 GN=PSMD10 PE=1 SV=1,0,248.551,75,17,299,17,226,24.4,6.1,888.81,17,0,711822385.9,High,1,Acetyl [N-Term]
FALSE,High,Master Protein,P25789,Proteasome subunit alpha type-4 OS=Homo sapiens OX=9606 GN=PSMA4 PE=1 SV=1,0,314.913,76,19,298,19,261,29.5,7.72,1112.3,19,0,2230543580,High,1,Phospho [S62; S75]
FALSE,High,Master Protein,P28072,Proteasome subunit beta type-6 OS=Homo sapiens OX=9606 GN=PSMB6 PE=1 SV=4,0,159.653,65,10,293,10,239,25.3,4.92,1010.34,10,0,1098442999,High,1,
FALSE,High,Master Protein,Q99436,Proteasome subunit beta type-7 OS=Homo sapiens OX=9606 GN=PSMB7 PE=1 SV=1,0,259.08,61,14,277,14,277,29.9,7.68,869.46,14,0,1174498723,High,1,
FALSE,High,Master Protein,P28070,Proteasome subunit beta type-4 OS=Homo sapiens OX=9606 GN=PSMB4 PE=1 SV=4,0,201.934,52,10,274,10,264,29.2,5.97,1040.75,10,0,1629638467,High,1,
FALSE,High,Master Protein,P62979,Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens OX=9606 GN=RPS27A PE=1 SV=2,0,104.545,65,14,268,14,156,18,9.64,612.16,14,0,2105559918,High,1,Phospho [T9]
FALSE,High,Master Protein,Q15386,Ubiquitin-protein ligase E3C OS=Homo sapiens OX=9606 GN=UBE3C PE=1 SV=3,0,306.141,50,46,223,46,1083,123.8,6.71,609.13,46,0,400659392.2,High,1,Acetyl [N-Term]
FALSE,High,Master Protein,Q05086,Ubiquitin-protein ligase E3A OS=Homo sapiens OX=9606 GN=UBE3A PE=1 SV=4,0,271.394,59,40,197,40,875,100.6,5.22,601.15,40,0,294576232.2,High,1,Phospho [S217; S218]
FALSE,High,Master Protein,P07900,Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5,0,200.486,58,36,170,25,732,84.6,5.02,468.7,36,11,342049668.3,High,1,Phospho [S231; S263; T594]
FALSE,High,Master Protein,Q00610,Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5,0,308.329,39,52,170,52,1675,191.5,5.69,514.92,52,0,200846747.6,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P08238,Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4,0,180.86,53,33,151,22,724,83.2,5.03,433.7,33,0,109646774.4,High,1,Phospho [S255]
FALSE,High,Master Protein,P54727,UV excision repair protein RAD23 homolog B OS=Homo sapiens OX=9606 GN=RAD23B PE=1 SV=1,0,231.152,59,20,134,16,409,43.1,4.84,412.98,20,4,602589799.1,High,1,Phospho [T159; S160; T162]
FALSE,High,Master Protein,P68104,Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1,0,187.213,52,20,120,13,462,50.1,9.01,429.95,20,7,383631242.1,High,1,Methyl [K165; R166]
FALSE,High,Master Protein,P07437,Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2,0,157.291,66,21,114,5,444,49.6,4.89,351.78,21,17,421512525.4,High,1,
FALSE,High,Master Protein,Q02952,A-kinase anchor protein 12 OS=Homo sapiens OX=9606 GN=AKAP12 PE=1 SV=4,0,259.524,40,44,99,44,1782,191.4,4.41,290.8,44,0,70040549.2,High,1,Phospho [S371]
FALSE,High,Master Protein,P68371,Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1,0,129.392,57,18,98,3,445,49.8,4.89,297.29,18,0,5378476.125,High,1,
FALSE,High,Master Protein,P62701,"40S ribosomal protein S4, X isoform OS=Homo sapiens OX=9606 GN=RPS4X PE=1 SV=2",0,78.689,66,20,96,20,263,29.6,10.15,230.68,20,0,331853819.5,High,1,
FALSE,High,Master Protein,Q14997,Proteasome activator complex subunit 4 OS=Homo sapiens OX=9606 GN=PSME4 PE=1 SV=2,0,202.759,31,41,95,41,1843,211.2,6.9,246.73,41,0,98495141.88,High,1,
FALSE,High,Master Protein,P68363,Tubulin alpha-1B chain OS=Homo sapiens OX=9606 GN=TUBA1B PE=1 SV=1,0,114.925,50,17,93,10,451,50.1,5.06,256.1,17,7,139944897.3,High,1,
FALSE,High,Master Protein,Q14152,Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens OX=9606 GN=EIF3A PE=1 SV=1,0,121.003,27,35,86,35,1382,166.5,6.79,187.27,35,0,75018735.94,High,1,
FALSE,High,Master Protein,P46379,Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2,0,176.038,37,26,84,26,1132,119.3,5.6,248.9,26,0,83423997.38,High,1,Phospho [S113; S973]; Acetyl [N-Term]
FALSE,High,Master Protein,Q5TDH0,Protein DDI1 homolog 2 OS=Homo sapiens OX=9606 GN=DDI2 PE=1 SV=1,0,136.414,56,16,81,16,399,44.5,5.05,280.07,16,0,93584572.5,High,1,
FALSE,High,Master Protein,P63244,Receptor of activated protein C kinase 1 OS=Homo sapiens OX=9606 GN=RACK1 PE=1 SV=3,0,137.328,66,18,79,18,317,35.1,7.69,227.14,18,0,99258231.88,High,1,
FALSE,High,Master Protein,P23396,40S ribosomal protein S3 OS=Homo sapiens OX=9606 GN=RPS3 PE=1 SV=2,0,83.743,81,21,78,21,243,26.7,9.66,202.67,21,0,148997143,High,1,
FALSE,High,Master Protein,Q8WVY7,Ubiquitin-like domain-containing CTD phosphatase 1 OS=Homo sapiens OX=9606 GN=UBLCP1 PE=1 SV=2,0,67.481,43,16,73,16,318,36.8,6.46,179.07,16,0,114936695.9,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P26641,Elongation factor 1-gamma OS=Homo sapiens OX=9606 GN=EEF1G PE=1 SV=3,0,124.079,41,18,70,18,437,50.1,6.67,201.89,18,0,637091115.3,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,Q9UMX0,Ubiquilin-1 OS=Homo sapiens OX=9606 GN=UBQLN1 PE=1 SV=2,0,195.075,44,13,67,7,589,62.5,5.11,267.56,13,7,91049796.25,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P04264,"Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6",0,102.599,40,22,67,19,644,66,8.12,170.58,22,3,121715772.4,High,1,
FALSE,High,Master Protein,P29692,Elongation factor 1-delta OS=Homo sapiens OX=9606 GN=EEF1D PE=1 SV=5,0,93.558,59,14,66,12,281,31.1,5.01,180.69,14,1,86372691.94,High,1,Phospho [S133; S162]; Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P22061,Protein-L-isoaspartate(D-aspartate) O-methyltransferase OS=Homo sapiens OX=9606 GN=PCMT1 PE=1 SV=4,0,90.334,62,13,63,13,227,24.6,7.21,205.94,13,0,72727478.31,High,1,Methyl [R124]
FALSE,High,Master Protein,Q05639,Elongation factor 1-alpha 2 OS=Homo sapiens OX=9606 GN=EEF1A2 PE=1 SV=1,0,81.609,42,12,62,5,463,50.4,9.03,164.71,12,0,5103590.656,High,1,Methyl [K165; R166]
FALSE,High,Master Protein,Q99613,Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens OX=9606 GN=EIF3C PE=1 SV=1,0,102.717,27,21,61,21,913,105.3,5.68,148.32,21,0,55866353.47,High,1,
FALSE,High,Master Protein,P61247,40S ribosomal protein S3a OS=Homo sapiens OX=9606 GN=RPS3A PE=1 SV=2,0,71.204,52,14,60,14,264,29.9,9.73,149.88,14,0,119290541.6,High,1,
FALSE,High,Master Protein,Q9BRP4,Proteasomal ATPase-associated factor 1 OS=Homo sapiens OX=9606 GN=PAAF1 PE=1 SV=2,0,54.566,41,15,57,15,392,42.2,6.32,135.19,15,0,85784918.5,High,1,
FALSE,High,Master Protein,P62269,40S ribosomal protein S18 OS=Homo sapiens OX=9606 GN=RPS18 PE=1 SV=3,0,39.003,51,10,57,10,152,17.7,10.99,118.16,10,0,98219901.63,High,1,
FALSE,High,Master Protein,P55072,Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4,0,161.474,43,24,56,24,806,89.3,5.26,182.49,24,0,66895904.88,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P06748,Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2,0,116.701,55,12,56,12,294,32.6,4.78,169.61,12,0,135619805.8,High,1,Acetyl [N-Term]; Phospho [S4]
FALSE,High,Master Protein,P62241,40S ribosomal protein S8 OS=Homo sapiens OX=9606 GN=RPS8 PE=1 SV=2,0,49.979,53,10,54,10,208,24.2,10.32,158.57,10,0,92369924.38,High,1,
FALSE,High,Master Protein,O60664,Perilipin-3 OS=Homo sapiens OX=9606 GN=PLIN3 PE=1 SV=3,0,118.172,56,15,54,15,434,47,5.44,175.7,15,0,56224814.69,High,1,
FALSE,High,Master Protein,P55884,Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens OX=9606 GN=EIF3B PE=1 SV=3,0,91.228,39,23,54,23,814,92.4,5,125.87,23,0,105185541.9,High,1,Acetyl [N-Term]; Phospho [S119]
FALSE,High,Master Protein,P13639,Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4,0,128.525,34,22,53,22,858,95.3,6.83,141.5,22,0,46833044.38,High,1,
FALSE,High,Master Protein,Q5T4S7,E3 ubiquitin-protein ligase UBR4 OS=Homo sapiens OX=9606 GN=UBR4 PE=1 SV=1,0,125.779,10,35,53,34,5183,573.5,6.04,122.36,35,1,68177945.47,High,1,
FALSE,High,Master Protein,P49327,Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3,0,116.232,19,33,50,33,2511,273.3,6.44,116.61,33,0,71159048.19,High,1,Acetyl [N-Term]
FALSE,High,Master Protein,P49748,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADVL PE=1 SV=1",0,108.078,41,18,50,18,655,70.3,8.75,124.85,18,0,113432750.9,High,1,
FALSE,High,Master Protein,P60228,Eukaryotic translation initiation factor 3 subunit E OS=Homo sapiens OX=9606 GN=EIF3E PE=1 SV=1,0,68.58,46,18,49,18,445,52.2,6.04,111.26,18,0,51895092.38,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P35527,"Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3",0,98.127,40,16,48,15,623,62,5.24,131.36,16,1,55818792.88,High,1,
FALSE,High,Master Protein,O14562,Ubiquitin domain-containing protein UBFD1 OS=Homo sapiens OX=9606 GN=UBFD1 PE=1 SV=2,0,75.908,56,10,47,10,309,33.4,5.77,131.44,10,0,59630210,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P60709,"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1",0,91.832,63,16,47,16,375,41.7,5.48,129.87,16,0,79648209,High,1,
FALSE,High,Master Protein,P26640,Valine--tRNA ligase OS=Homo sapiens OX=9606 GN=VARS1 PE=1 SV=4,0,97.475,24,18,45,18,1264,140.4,7.59,128.21,18,0,25905425.88,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,Q00839,Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6,0,68.387,22,14,45,14,825,90.5,6,97.38,14,0,54405906.5,High,1,Phospho [S59]
FALSE,High,Master Protein,Q9NY65,Tubulin alpha-8 chain OS=Homo sapiens OX=9606 GN=TUBA8 PE=1 SV=1,0,65.745,26,8,45,1,449,50.1,5.06,130.5,8,0,,High,1,Methyl [R79]
FALSE,High,Master Protein,P08865,40S ribosomal protein SA OS=Homo sapiens OX=9606 GN=RPSA PE=1 SV=4,0,62.634,38,9,44,9,295,32.8,4.87,154.79,9,0,123750213.5,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,Q02878,60S ribosomal protein L6 OS=Homo sapiens OX=9606 GN=RPL6 PE=1 SV=3,0,63.007,41,13,44,13,288,32.7,10.58,102.39,13,0,61525290.5,High,1,
FALSE,High,Master Protein,P62249,40S ribosomal protein S16 OS=Homo sapiens OX=9606 GN=RPS16 PE=1 SV=2,0,24.33,47,7,44,7,146,16.4,10.21,111.29,7,0,103329097.9,High,1,
FALSE,High,Master Protein,P24534,Elongation factor 1-beta OS=Homo sapiens OX=9606 GN=EEF1B2 PE=1 SV=3,0,71.146,64,10,43,8,225,24.7,4.67,148.46,10,0,84998949.13,High,1,Met-loss [N-Term]; Phospho [S106]
FALSE,High,Master Protein,Q9Y262,Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens OX=9606 GN=EIF3L PE=1 SV=1,0,63.465,31,16,43,16,564,66.7,6.34,108.04,16,0,45687958.72,High,1,
FALSE,High,Master Protein,Q9Y230,RuvB-like 2 OS=Homo sapiens OX=9606 GN=RUVBL2 PE=1 SV=3,0,56.064,35,14,42,14,463,51.1,5.64,114.72,14,0,44158210.63,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P11142,Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1,0,79.696,28,16,42,13,646,70.9,5.52,110.75,16,2,46814429.69,High,1,
FALSE,High,Master Protein,P15880,40S ribosomal protein S2 OS=Homo sapiens OX=9606 GN=RPS2 PE=1 SV=2,0,31.834,33,9,42,9,293,31.3,10.24,106.42,9,0,91102185.25,High,1,
FALSE,High,Master Protein,P49368,T-complex protein 1 subunit gamma OS=Homo sapiens OX=9606 GN=CCT3 PE=1 SV=4,0,66.502,38,15,42,15,545,60.5,6.49,123.02,15,0,147971703.6,High,1,Acetyl [N-Term]
FALSE,High,Master Protein,P39019,40S ribosomal protein S19 OS=Homo sapiens OX=9606 GN=RPS19 PE=1 SV=2,0,32.222,51,9,40,9,145,16.1,10.32,77.98,9,0,83979276.59,High,1,
FALSE,High,Master Protein,Q9UQ80,Proliferation-associated protein 2G4 OS=Homo sapiens OX=9606 GN=PA2G4 PE=1 SV=3,0,78.432,47,17,40,17,394,43.8,6.55,103.13,17,0,45965716.63,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P25398,40S ribosomal protein S12 OS=Homo sapiens OX=9606 GN=RPS12 PE=1 SV=3,0,65.6,72,9,40,9,132,14.5,7.21,102.15,9,0,73258499.13,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P63104,14-3-3 protein zeta/delta OS=Homo sapiens OX=9606 GN=YWHAZ PE=1 SV=1,0,60.778,49,11,39,9,245,27.7,4.79,115.88,11,0,49925056.88,High,1,
FALSE,High,Master Protein,O15371,Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens OX=9606 GN=EIF3D PE=1 SV=1,0,106,41,16,38,16,548,63.9,6.05,106.84,16,0,23069676.38,High,1,
FALSE,High,Master Protein,P02538,"Keratin, type II cytoskeletal 6A OS=Homo sapiens OX=9606 GN=KRT6A PE=1 SV=3",0,45.002,27,15,38,2,564,60,8,88.23,15,11,37679781.13,High,1,
FALSE,High,Master Protein,P62280,40S ribosomal protein S11 OS=Homo sapiens OX=9606 GN=RPS11 PE=1 SV=3,0,37.215,56,10,36,10,158,18.4,10.3,62.9,10,0,69650804.5,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P40429,60S ribosomal protein L13a OS=Homo sapiens OX=9606 GN=RPL13A PE=1 SV=2,0,25.635,33,9,36,9,203,23.6,10.93,56.38,9,0,51825306.81,High,1,
FALSE,High,Master Protein,P15311,Ezrin OS=Homo sapiens OX=9606 GN=EZR PE=1 SV=4,0,61.172,33,19,36,14,586,69.4,6.27,56.13,19,4,28354867.55,High,1,Acetyl [K412]
FALSE,High,Master Protein,P40939,"Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2",0,89.68,30,16,36,16,763,82.9,9.04,100.69,16,0,48273860.08,High,1,
FALSE,High,Master Protein,Q9Y265,RuvB-like 1 OS=Homo sapiens OX=9606 GN=RUVBL1 PE=1 SV=1,0,66.951,31,11,36,11,456,50.2,6.42,99.51,11,0,66378919.81,High,1,
FALSE,High,Master Protein,P0DP25,Calmodulin-3 OS=Homo sapiens OX=9606 GN=CALM3 PE=1 SV=1,0,56.215,60,8,36,8,149,16.8,4.22,94.67,8,0,70072960.31,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P19338,Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3,0,68.764,18,11,36,11,710,76.6,4.7,100.42,11,0,44966477.56,High,1,
FALSE,High,Master Protein,P62258,14-3-3 protein epsilon OS=Homo sapiens OX=9606 GN=YWHAE PE=1 SV=1,0,49.716,47,11,36,9,255,29.2,4.74,92.17,11,2,65577072,High,1,Acetyl [N-Term]
FALSE,High,Master Protein,P62263,40S ribosomal protein S14 OS=Homo sapiens OX=9606 GN=RPS14 PE=1 SV=3,0,41.505,39,7,35,7,151,16.3,10.05,85.88,7,0,62438735.88,High,1,
FALSE,High,Master Protein,Q14204,Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5,0,68.04,6,24,34,24,4646,532.1,6.4,67.94,24,0,11797295.31,High,1,
FALSE,High,Master Protein,P07814,Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens OX=9606 GN=EPRS1 PE=1 SV=5,0,60.964,15,20,34,19,1512,170.5,7.33,65.07,20,1,35803859.47,High,1,
